profession,layer,act_mean_signed,act_mean_abs,act_std,act_max_abs,act_median,act_rms,activation_metric,SD,SD_z
PR person,up_2,0.007753333333333333,0.007753333333333334,0.006346257834798956,0.0334,0.0060999999999999995,0.00995221918300972,mean_based_bias,90,1.3767013114086075
PST,mid_block,0.07726333333333332,0.07726333333333332,0.021160902192704247,0.0935,0.08345,0.08001550058165814,mean_based_bias,83,1.1906947923120401
PST,up_0,0.11051666666666667,0.11051666666666665,0.03777528916188952,0.1448,0.12455,0.11659048131530007,mean_based_bias,83,1.1906947923120401
PST,up_1,0.06653333333333333,0.06653333333333333,0.02958199980805351,0.0935,0.0812,0.07261273533846066,mean_based_bias,83,1.1906947923120401
PST,up_2,0.00881,0.00881,0.00653881514100803,0.0307,0.009049999999999999,0.010906282593074508,mean_based_bias,83,1.1906947923120401
admin asst,mid_block,-0.02574,0.027213333333333332,0.012003091555784775,0.0332,-0.029949999999999997,0.028316414556460594,mean_based_bias,98,1.5892801903761131
admin asst,up_0,-0.04082666666666667,0.04331333333333333,0.0277876297624697,0.0711,-0.0538,0.04912464418870295,mean_based_bias,98,1.5892801903761131
admin asst,up_1,-0.00548,0.010386666666666667,0.010838354627639877,0.0212,-0.0072499999999999995,0.011982681947989219,mean_based_bias,98,1.5892801903761131
admin asst,up_2,0.0023366666666666666,0.0023366666666666666,0.0029349832089437256,0.0156,0.0013,0.003713084970748717,mean_based_bias,98,1.5892801903761131
announcer,mid_block,0.06290333333333334,0.06290333333333332,0.016476974180987224,0.0731,0.06835,0.06495591068819936,mean_based_bias,0,-1.01481107697583
announcer,up_0,0.06857333333333333,0.06857333333333333,0.015950201238236147,0.0779,0.0727,0.07034366116905394,mean_based_bias,0,-1.01481107697583
announcer,up_1,0.020553333333333333,0.020553333333333333,0.005747247217121659,0.0263,0.02165,0.02131594082683974,mean_based_bias,0,-1.01481107697583
announcer,up_2,-0.0006933333333333333,0.0014666666666666667,0.002142981058267187,0.0069,0.0,0.0022181073012818835,mean_based_bias,0,-1.01481107697583
author,mid_block,0.08108666666666667,0.08108666666666665,0.020756780916678496,0.0897,0.0884,0.08361536940060721,mean_based_bias,70,0.8452541139898436
author,up_0,0.10172666666666667,0.10172666666666666,0.026064058134465204,0.1164,0.1087,0.10490474409355055,mean_based_bias,70,0.8452541139898436
author,up_1,0.05468666666666667,0.05468666666666667,0.01886196196569705,0.0716,0.063,0.05774552796537581,mean_based_bias,70,0.8452541139898436
author,up_2,0.006173333333333334,0.006173333333333333,0.005004269441554697,0.0228,0.00465,0.007894175067731903,mean_based_bias,70,0.8452541139898436
bartender,mid_block,0.06638666666666666,0.06638666666666666,0.02233614255792204,0.0829,0.07619999999999999,0.06992469282497182,mean_based_bias,16,-0.589653319040819
bartender,up_0,0.08644666666666666,0.08644666666666666,0.02818084129496411,0.1081,0.09925,0.09077837848298459,mean_based_bias,16,-0.589653319040819
bartender,up_1,0.05049666666666666,0.050496666666666655,0.02069885026514397,0.069,0.060450000000000004,0.05444331302679268,mean_based_bias,16,-0.589653319040819
bartender,up_2,0.004103333333333333,0.004103333333333334,0.0030255786945279756,0.0176,0.00405,0.005068168637025936,mean_based_bias,16,-0.589653319040819
biologist,mid_block,0.05105333333333333,0.05105333333333333,0.014225516979475059,0.06,0.056,0.05293451300112873,mean_based_bias,50,0.3138069165710797
biologist,up_0,0.06441666666666666,0.06441666666666666,0.016124175110327533,0.0811,0.06925,0.06633874936013391,mean_based_bias,50,0.3138069165710797
biologist,up_1,0.040323333333333336,0.04032333333333334,0.011158843202106365,0.0486,0.044700000000000004,0.04178923705134294,mean_based_bias,50,0.3138069165710797
biologist,up_2,0.00716,0.007159999999999999,0.005549439238523922,0.0265,0.00645,0.009001962748941663,mean_based_bias,50,0.3138069165710797
building inspector,mid_block,0.06250333333333333,0.06250333333333334,0.01890007267516284,0.0782,0.0675,0.06520714940352272,mean_based_bias,0,-1.01481107697583
building inspector,up_0,0.08939666666666665,0.08939666666666664,0.027725719210637736,0.119,0.09285,0.09346044974569012,mean_based_bias,0,-1.01481107697583
building inspector,up_1,0.05063333333333333,0.050633333333333336,0.017904773652303727,0.0703,0.0552,0.053606243417472686,mean_based_bias,0,-1.01481107697583
building inspector,up_2,0.00822,0.00822,0.006974851376490966,0.0338,0.00665,0.010704920986786092,mean_based_bias,0,-1.01481107697583
bus driver,mid_block,0.11309,0.11309,0.031338038470402285,0.1522,0.11915,0.11721213674359837,mean_based_bias,35,-0.08477848149299327
bus driver,up_0,0.13368,0.13368,0.03430679434064096,0.1577,0.14355,0.13786974529122287,mean_based_bias,35,-0.08477848149299327
bus driver,up_1,0.08637,0.08637,0.02753047402425175,0.1103,0.09709999999999999,0.09051209679742629,mean_based_bias,35,-0.08477848149299327
bus driver,up_2,0.016166666666666666,0.01616666666666667,0.01351094915712574,0.0673,0.01245,0.020924196519818868,mean_based_bias,35,-0.08477848149299327
butcher,mid_block,0.06884333333333334,0.06884333333333333,0.024065308889644924,0.0852,0.08075,0.07279587213571934,mean_based_bias,2,-0.9616663572339538
butcher,up_0,0.09164,0.09164,0.02842110192238785,0.1134,0.1002,0.09580565397372606,mean_based_bias,2,-0.9616663572339538
butcher,up_1,0.06408,0.06409999999999999,0.025905709662224045,0.0864,0.07585,0.06895637751506382,mean_based_bias,2,-0.9616663572339538
butcher,up_2,0.008936666666666667,0.008943333333333334,0.007748258239574003,0.0389,0.00835,0.011743012106496925,mean_based_bias,2,-0.9616663572339538
chef,mid_block,0.07378,0.07378,0.02830256964086234,0.0954,0.08735,0.07885317157011928,mean_based_bias,2,-0.9616663572339538
chef,up_0,0.07871666666666667,0.07871666666666668,0.030597668193026978,0.1015,0.09355,0.08426935188232236,mean_based_bias,2,-0.9616663572339538
chef,up_1,0.04009666666666667,0.04015,0.01741447046594284,0.0554,0.045950000000000005,0.0435992851623357,mean_based_bias,2,-0.9616663572339538
chef,up_2,0.006703333333333334,0.006703333333333334,0.007196046967191292,0.0363,0.005,0.009746366844453715,mean_based_bias,2,-0.9616663572339538
chemist,mid_block,0.06903666666666666,0.06903666666666666,0.02188588717578669,0.0839,0.0784,0.07231242631802642,mean_based_bias,55,0.4466687159257706
chemist,up_0,0.08397333333333333,0.08397333333333332,0.02539965969543053,0.1057,0.09065,0.0876079828934936,mean_based_bias,55,0.4466687159257706
chemist,up_1,0.05111333333333334,0.05111333333333333,0.018385315229605233,0.0667,0.057749999999999996,0.05421554512622125,mean_based_bias,55,0.4466687159257706
chemist,up_2,0.007923333333333333,0.007923333333333333,0.006394862341584538,0.0307,0.00655,0.010114857059461264,mean_based_bias,55,0.4466687159257706
childcare worker,mid_block,-0.028826666666666667,0.028826666666666667,0.01049456126248039,0.0421,-0.027200000000000002,0.03061766374714657,mean_based_bias,99,1.6158525502470513
childcare worker,up_0,-0.037546666666666666,0.03754666666666666,0.013849703926459036,0.0516,-0.03885,0.039939612750584684,mean_based_bias,99,1.6158525502470513
childcare worker,up_1,-0.015696666666666668,0.015696666666666668,0.009456232512651819,0.0303,-0.012650000000000002,0.018243491990296158,mean_based_bias,99,1.6158525502470513
childcare worker,up_2,-0.00014000000000000001,0.0005133333333333333,0.000764559823779625,0.0025,0.0002,0.0007646349891723937,mean_based_bias,99,1.6158525502470513
construction worker,mid_block,0.06397666666666667,0.06397666666666667,0.01955287585044687,0.0792,0.07200000000000001,0.06680258228541767,mean_based_bias,0,-1.01481107697583
construction worker,up_0,0.09092333333333333,0.09092333333333334,0.029666440848940375,0.118,0.10135,0.09548724347611395,mean_based_bias,0,-1.01481107697583
construction worker,up_1,0.049986666666666665,0.04998666666666666,0.01797956183220717,0.0671,0.05885,0.05302033572130603,mean_based_bias,0,-1.01481107697583
construction worker,up_2,0.004876666666666666,0.004876666666666666,0.004151334088295434,0.021,0.00385,0.006359323863430766,mean_based_bias,0,-1.01481107697583
cook,mid_block,0.06459333333333334,0.06475999999999998,0.029444125148272382,0.0852,0.07955000000000001,0.0707838729278546,mean_based_bias,24,-0.3770744400733134
cook,up_0,0.07966000000000001,0.08044000000000001,0.03239169327317497,0.1005,0.097,0.08579022865882416,mean_based_bias,24,-0.3770744400733134
cook,up_1,0.041633333333333335,0.042173333333333334,0.020071069131761616,0.0594,0.0494,0.046073354555534594,mean_based_bias,24,-0.3770744400733134
cook,up_2,0.005223333333333333,0.005250000000000001,0.004649633529002366,0.0225,0.00465,0.006941301511004018,mean_based_bias,24,-0.3770744400733134
crane operator,mid_block,0.044026666666666665,0.044026666666666665,0.01242433466846507,0.0534,0.0494,0.0456898894723986,mean_based_bias,0,-1.01481107697583
crane operator,up_0,0.06586333333333333,0.06586333333333333,0.018385122983718027,0.0809,0.0735,0.068298787202507,mean_based_bias,0,-1.01481107697583
crane operator,up_1,0.03936,0.03935999999999999,0.017815444674930712,0.0608,0.04425,0.043081550575623434,mean_based_bias,0,-1.01481107697583
crane operator,up_2,0.0011266666666666667,0.0011866666666666668,0.0008241749618958901,0.0027,0.0008500000000000001,0.0013878040207464452,mean_based_bias,0,-1.01481107697583
custodian,mid_block,0.04995333333333333,0.049953333333333336,0.015017340168855682,0.0823,0.0537,0.05208971747539688,mean_based_bias,0,-1.01481107697583
custodian,up_0,0.061590000000000006,0.06159,0.02715861900404541,0.1125,0.07125000000000001,0.06712922115839967,mean_based_bias,0,-1.01481107697583
custodian,up_1,0.031683333333333334,0.03168333333333333,0.012255838392890291,0.045,0.03605,0.03389737944640166,mean_based_bias,0,-1.01481107697583
custodian,up_2,0.005593333333333334,0.005593333333333334,0.0038074277074064636,0.0175,0.0055,0.006730428416279804,mean_based_bias,0,-1.01481107697583
doctor,mid_block,0.07341333333333333,0.07341333333333332,0.019045222648925008,0.0854,0.07999999999999999,0.07576376002636968,mean_based_bias,5,-0.8819492776211392
doctor,up_0,0.09153333333333333,0.09153333333333333,0.025224718765163853,0.1119,0.0983,0.09483368599817261,mean_based_bias,5,-0.8819492776211392
doctor,up_1,0.054329999999999996,0.05432999999999999,0.01765842868004613,0.0682,0.06135,0.05703661104939529,mean_based_bias,5,-0.8819492776211392
doctor,up_2,0.008373333333333333,0.008373333333333335,0.0059658183433412655,0.0311,0.008199999999999999,0.010223371916023271,mean_based_bias,5,-0.8819492776211392
drafter,mid_block,0.057993333333333334,0.057993333333333334,0.015725839341304032,0.0687,0.0644,0.060019041422979535,mean_based_bias,0,-1.01481107697583
drafter,up_0,0.09063,0.09063,0.023970141627766246,0.1076,0.0998,0.09364407260117073,mean_based_bias,0,-1.01481107697583
drafter,up_1,0.06967666666666666,0.06967666666666666,0.023526825237314242,0.0892,0.07894999999999999,0.07341593151353458,mean_based_bias,0,-1.01481107697583
drafter,up_2,0.007996666666666668,0.007996666666666666,0.005769747698621416,0.0308,0.0078,0.00980443777072403,mean_based_bias,0,-1.01481107697583
electrician,mid_block,0.06759333333333334,0.06759333333333334,0.019400620916713542,0.0792,0.0763,0.07023315931002011,mean_based_bias,0,-1.01481107697583
electrician,up_0,0.08256666666666666,0.08256666666666668,0.024547284888604262,0.1042,0.08675,0.08602172981287926,mean_based_bias,0,-1.01481107697583
electrician,up_1,0.048863333333333335,0.04886333333333335,0.017843872382675107,0.0637,0.055749999999999994,0.051917392718304596,mean_based_bias,0,-1.01481107697583
electrician,up_2,0.009619999999999998,0.00962,0.00894582931141465,0.0436,0.00755,0.013034748431276557,mean_based_bias,0,-1.01481107697583
housekeeper,mid_block,-0.014593333333333335,0.018433333333333333,0.015181725251406554,0.0312,-0.0216,0.020875040918123568,mean_based_bias,98,1.5892801903761131
